[Thursday/February 16/02/2023 20:07:20] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E03 - Episode 3 (1080p BluRay x265 Ghost).mkv | length=3530.08 | time=3497.8026754015
[Saturday/February 18/02/2023 13:36:33] Videos/Anime/[Judas] Kaguya-Sama Wa Kokurasetai (Season 3) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Kaguya-Sama Wa Kokurasetai - S03E13 (S03E12 Part 2).mkv | length=1530.147 | time=46.462991300001
[Saturday/February 18/02/2023 20:39:28] Videos/Anime/[EMBER] Isekai Ojisan - 12 V2.mkv | length=1442.091 | time=1442.0906666671
[Sunday/February 19/02/2023 17:35:07] Videos/[Judas] Boku no Hero Academia - S06E01.mkv | length=1433.12 | time=1318.2161450006
[Sunday/February 19/02/2023 17:35:22] /home/harshan/Videos/[Judas] My Hero Academia - S06E02.mkv | length=1435.37 | time=0
[Sunday/February 19/02/2023 17:35:26] /home/harshan/Videos/[Judas] My Hero Academia - S06E03.mkv | length=1435.74 | time=3.545
[Sunday/February 19/02/2023 17:53:05] /home/harshan/Videos/[Judas] My Hero Academia - S06E02.mkv | length=1435.37 | time=1314.9127602006
[Sunday/February 19/02/2023 19:00:39] /home/harshan/Videos/[Judas] My Hero Academia - S06E03.mkv | length=1435.74 | time=1313.7025902006
[Sunday/February 19/02/2023 22:34:23] /home/harshan/Videos/[Judas] My Hero Academia - S06E04.mkv | length=1435.37 | time=6.239592
[Sunday/February 19/02/2023 22:35:06] Videos/[Judas] My Hero Academia - S06E04.mkv | length=1435.37 | time=12.445785
[Sunday/February 19/02/2023 22:35:14] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E06 - Episode 6 (1080p BluRay x265 Ghost).mkv | length=3487.68 | time=0
[Sunday/February 19/02/2023 22:35:14] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E05 - Episode 5 (1080p BluRay x265 Ghost).mkv | length=3403.072 | time=0
